Year,DoY,season,daily_NEE,daily_GPP,daily_Reco,MaxT,MinT,Radn,rainfall,TairMean,pdi,mean_SoilC,grazeYN
2022,184,Summer,3.4085298956,-7.3188866736,10.7273995169,29.4,16.1,27.94,0,21.37118056,-1.29,20.3308871,N
2022,185,Summer,4.18336825,-6.6146092992000005,10.7979800683,27.8,12.2,26.56,0,19.68611111,-1.29,21.12429072,N
2022,186,Summer,1.940299402,-9.2077007118,11.1480148304,26.1,13.9,10.48,0.254,18.99305556,-1.29,20.74980061,N
2022,187,Summer,3.2701048097,-9.8052887234,13.0753712319,26.1,15.6,22.14,9.144,21.26423611,-1.29,19.52002615,N
2022,188,Summer,2.25287905,-11.2096452102,13.462501382,24.4,12.2,20.15,0,20.54027778,-1.29,20.20858537,N
2022,189,Summer,1.091724739,-14.3736748034,15.4652984904,25.6,16.7,26.41,0,22.65868056,-1.29,19.96544799,N
2022,190,Summer,3.2269116962,-11.1959217372,14.4228707956,25,15,27.14,0,19.34027778,-1.57,20.70460917,N
2022,191,Summer,0.5738921279999999,-11.4202340648,11.9941210597,25.6,11.1,27.19,0,17.72534722,-1.57,20.07393292,N
2022,192,Summer,5.1873532706,-5.9825122562,11.1697158775,27.2,12.2,25.41,0,21.7625,-1.57,20.10075785,N
2022,193,Summer,9.044749656,-0.08279184959999998,9.1275033451,26.1,17.2,20.06,1.27,23.56145833,-1.57,21.29307963,N
2022,194,Summer,5.1898684174,-1.3925116550000003,6.582355085,28.3,17.2,27.03,0.508,22.63333333,-1.57,22.07890854,N
2022,195,Summer,3.5526299456,-2.3990865124000003,5.9517073325,27.8,16.7,20.52,0.254,21.44930556,-1.57,22.27492676,N
2022,196,Summer,4.1909339088,-1.3198158144,5.5107051395,27.8,13.9,27.08,0,20.54305556,-1.57,20.17347362,N
2022,197,Summer,2.9723277888,-2.3631695564,5.3355396201,27.2,14.4,17.59,0,20.91805556,-1.63,21.15580138,N
2022,198,Summer,3.809148638,-2.5138128384000002,6.3229512513,29.4,16.7,24.41,0,23.33923611,-1.63,21.36670075,N
2022,199,Summer,3.7893175059999997,-3.1909550832,6.9803381595,26.1,16.7,8.39,6.604,22.98506945,-1.63,22.27836888,N
2022,200,Summer,8.088151968,-0.6168111770000001,8.7049243074,32.8,20,25.76,9.652,26.20590278,-1.63,21.6122401,N
2022,201,Summer,5.127968346,-4.6125173695,9.740452206,31.7,19.4,24.64,3.81,26.70729167,-1.63,23.41212616,N
2022,202,Summer,6.900815476,-3.085382703,9.9862715816,29.4,18.9,20.35,8.382,25.38020833,-1.63,24.00215175,N
2022,203,Summer,5.6365879544,-4.369979419,10.0066243319,33.9,20,25.59,0,25.58715278,-1.63,23.80755004,N
2022,204,Summer,6.1385719108,-3.9802737096,10.1188273346,33.3,18.3,26.31,0,26.25104167,1.44,23.79491831,N
2022,205,Summer,4.3176897072,-6.3465499724,10.6641846525,31.7,18.3,25.02,0,28.35,1.44,24.60855255,N
2022,206,Summer,8.0753433418,-1.250803426,9.3261303508,28.9,20.6,6.73,8.89,23.86909722,1.44,25.44137725,N
